policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
NO_PASSIVE,330029,372.50280038414536,1.4483829493248674,445.27907653515393,0,0,0,0,123,30,12,15,1000,100
RANDOM,330029,23.993562400844187,0.5641887043967299,39.520033835577436,54,0,0,0,123,30,12,15,1000,100
HIGHEST_SNR,330029,20.782937608733196,0.377615135086975,42.41541506610248,54,0,0,0,123,30,12,15,1000,100
SHORTEST_PULSE,330029,7.603455173395974,0.5104989773403197,30.056528006498773,54,0,0,0,123,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330029,8.848301125829105,0.4801657197596611,29.21429297025166,54,0,0,0,123,30,12,15,1000,100
NO_PASSIVE,331000,338.60967369365954,1.890300553196988,445.27907653515393,0,0,0,0,0,31,12,25,10,30
RANDOM,331000,338.60967369365954,1.890300553196988,445.27907653515393,0,0,0,0,0,31,12,25,10,30
HIGHEST_SNR,331000,338.60967369365954,1.890300553196988,445.27907653515393,0,0,0,0,0,31,12,25,10,30
SHORTEST_PULSE,331000,338.60967369365954,1.890300553196988,445.27907653515393,0,0,0,0,0,31,12,25,10,30
METROLOGY_CONDITIONED_EIG,331000,338.60967369365954,1.890300553196988,445.27907653515393,0,0,0,0,0,31,12,25,10,30
NO_PASSIVE,331001,546.8822891929344,1.4060114565061894,445.27907653515393,0,0,0,0,1,31,12,25,10,30
RANDOM,331001,351.1049438792063,1.3577637366730626,328.85933764278803,1,0,0,0,1,31,12,25,10,30
HIGHEST_SNR,331001,351.1049438792063,1.3577637366730626,328.85933764278803,1,0,0,0,1,31,12,25,10,30
SHORTEST_PULSE,331001,351.1049438792063,1.3577637366730626,328.85933764278803,1,0,0,0,1,31,12,25,10,30
METROLOGY_CONDITIONED_EIG,331001,351.1049438792063,1.3577637366730626,328.85933764278803,1,0,0,0,1,31,12,25,10,30
NO_PASSIVE,331002,737.6497299719248,1.6368177494875011,445.27907653515393,0,0,0,0,0,31,12,25,10,30
RANDOM,331002,737.6497299719248,1.6368177494875011,445.27907653515393,0,0,0,0,0,31,12,25,10,30
HIGHEST_SNR,331002,737.6497299719248,1.6368177494875011,445.27907653515393,0,0,0,0,0,31,12,25,10,30
SHORTEST_PULSE,331002,737.6497299719248,1.6368177494875011,445.27907653515393,0,0,0,0,0,31,12,25,10,30
METROLOGY_CONDITIONED_EIG,331002,737.6497299719248,1.6368177494875011,445.27907653515393,0,0,0,0,0,31,12,25,10,30
NO_PASSIVE,331003,348.51992277176726,4.802651499273543,445.27907653515393,0,0,0,0,0,31,12,25,10,30
RANDOM,331003,348.51992277176726,4.802651499273543,445.27907653515393,0,0,0,0,0,31,12,25,10,30
HIGHEST_SNR,331003,348.51992277176726,4.802651499273543,445.27907653515393,0,0,0,0,0,31,12,25,10,30
